"","mouse_uni","shared_gene","human_uni"
"146","Q9DB30","PHKG2","P15735"
"147","P49586","PCYT1A","P49585"
"148","Q6P1Z5","PCED1A","Q9H1Q7"
"149","Q8BGX1","PCED1B","Q96HM7"
"150","Q811Q9","PCYT1B","Q9Y5K3"
"151","Q61282","ACAN","P16112"
"152","P97298","SERPINF1","P36955"
"153","P52946","PDX1","P52945"
"154","Q8BFY6","PEF1","Q9UBV8"
"155","Q922E4","PCYT2","Q99447"
"156","Q9D106","PGA5","P0DJD9"
"157","P0C1Q2","PDE11A","Q9HCR9"
"158","Q7TN75","PEG10","Q86TG7"
"159","Q3TIU4","PDE12","Q6L8Q7"
"160","Q3URU2","PEG3","Q9GZU2"
"161","Q9CQF9","PCYOX1","Q9UHG3"
"162","Q7TMR0","PRCP","P42785"
"163","Q61481","PDE1A","P54750"
"164","Q8C7K6","PCYOX1L","Q8NBM8"
"165","Q01065","PDE1B","Q01064"
"166","Q64338","PDE1C","Q14123"
"167","Q9EP73","CD274","Q9NZQ7"
"168","Q9WUL5","PDCD1LG2","Q9BQ51"
"169","Q9Z2J6","PTGDR2","Q9Y5Y4"
"170","P70263","PTGDR","Q13258"
"171","Q922S4","PDE2A","O00408"
"172","Q9Z0X4","PDE3A","Q14432"
"173","Q61409","PDE3B","Q13370"
"174","Q3UBG2","PID1","Q7Z2X4"
"175","O89084","PDE4A","P27815"
"176","Q9QYX7","PCLO","Q9Y6V0"
"177","Q8VE70","PDCD10","Q9BUL8"
"178","Q3UEI1","PDE4C","Q08493"
"179","Q9R0L6","PCM1","Q15154"
"180","Q01063","PDE4D","Q08499"
"181","P59913","PCMTD1","Q96MG8"
"182","Q8BHD8","PCMTD2","Q9NV79"
"183","Q8CG03","PDE5A","O76074"
"184","P27664","PDE6A","P16499"
"185","Q9WU78","PDCD6IP","Q8WUM4"
"186","P23440","PDE6B","P35913"
"187","Q9QXV0","PCSK1N","Q9UHG2"
"188","Q91ZQ1","PDE6C","P51160"
"189","Q02242","PDCD1","Q15116"
"190","P46718","PDCD2","Q16342"
"191","P29121","PCSK4","Q6UW60"
"192","O55057","PDE6D","O43924"
"193","Q04592","PCSK5","Q92824"
"194","Q61823","PDCD4","Q53EL6"
"195","P56812","PDCD5","O14737"
"196","Q61139","PCSK7","Q16549"
"197","P70453","PDE7A","Q13946"
"198","P12815","PDCD6","O75340"
"199","Q9QXQ1","PDE7B","Q9NP56"
"200","Q9WTY1","PDCD7","Q8N8D1"
"201","P17918","PCNA","P12004"
"202","Q78Y63","PDCL2","Q8N4E4"
"203","O88502","PDE8A","O60658"
"204","E9Q4S1","PDE8B","O95263"
"205","Q8BVF2","PDCL3","Q9H2J4"
"206","Q80W65","PCSK9","Q8NBP7"
"207","O70628","PDE9A","O76083"
"208","Q8C5N5","PDCD2L","Q9BRP1"
"209","Q8CA95","PDE10A","Q9Y233"
"210","Q6P8I4","PCNP","Q8WW12"
"211","P48725","PCNT","O95613"
"212","Q99LQ7","PEDS1","A5PLL7"
"213","Q61398","PCOLCE","Q15113"
"214","Q8R4W6","PCOLCE2","Q9UKZ9"
"215","P20033","PDGFA","P04085"
"216","P31240","PDGFB","P01127"
"217","P12660","PCP2","Q8IVA1"
"218","Q8CI19","PDGFC","Q9NRA1"
"219","P63054","PCP4","P48539"
"220","Q925I7","PDGFD","Q9GZP0"
"221","P70314","PITX1","P78337"
"222","P55065","PLTP","P55058"
"223","Q91VC4","PLVAP","Q9BX97"
"224","P97474","PITX2","Q99697"
"225","O35160","PITX3","O75364"
"226","P70206","PLXNA1","Q9UIW2"
"227","P70207","PLXNA2","O75051"
"228","B2RPU2","PLEKHD1","A6NEE1"
"229","P70208","PLXNA3","P51805"
"230","Q80UG2","PLXNA4","Q9HCM2"
"231","Q9JMB7","PIWIL1","Q96J94"
"232","Q8CJH3","PLXNB1","O43157"
"233","Q9DB26","PHYHD1","Q5SRE7"
"234","B2RXS4","PLXNB2","O15031"
"235","Q8CDG1","PIWIL2","Q8TC59"
"236","Q9QY40","PLXNB3","Q9ULL4"
"237","Q8CGT6","PIWIL4","Q7Z3Z4"
"238","Q8CGN5","PLIN1","O60240"
"239","Q9QZC2","PLXNC1","O60486"
"240","Q8K0S0","PHYHIP","Q92561"
"241","P43883","PLIN2","Q99541"
"242","O55176","PJA1","Q8NG27"
"243","Q3UH93","PLXND1","Q9Y4D7"
"244","Q80U04","PJA2","O43164"
"245","Q9DBG5","PLIN3","O60664"
"246","Q0ZLH2","PJVK","Q0ZLH3"
"247","O88492","PLIN4","Q96Q06"
"248","Q8BVZ1","PLIN5","Q00G26"
"249","Q9DCE5","PAK1IP1","Q9NWT1"
"250","Q8R526","PKD1L1","Q8TDX9"
"251","Q7TN88","PKD1L2","Q7Z442"
"252","Q2EG98","PKD1L3","Q7Z443"
"253","Q07832","PLK1","P53350"
"254","Q8BS03","PI15","O43692"
"255","Q9ET66","PI16","Q6UXB8"
"256","P53351","PLK2","Q9NYY3"
"257","P43252","PTGIR","P43119"
"258","Q8VD65","PIK3R4","Q99570"
"259","Q5SW28","PIK3R5","Q8WYR1"
"260","Q6PF93","PIK3C3","Q8NEB9"
"261","Q3U6Q4","PIK3R6","Q5UE93"
"262","O70172","PIP4K2A","P48426"
"263","Q64702","PLK4","O00444"
"264","P42337","PIK3CA","P42336"
"265","Q80XI4","PIP4K2B","P78356"
"266","P48986","NEUROD6","Q96NK8"
"267","Q9JI78","NGLY1","Q96IV0"
"268","Q4FZD7","PLK5","Q496M5"
"269","Q91XU3","PIP4K2C","Q8TBX8"
"270","Q8BTI9","PIK3CB","P42338"
"271","Q8CAF4","NHSL1","Q5SYE7"
"272","O70579","SLC25A17","O43808"
"273","Q8JZW8","PNMA3","Q9UL41"
"274","P11680","CFP","P27918"
"275","Q80XD8","PRAP1","Q96NZ9"
"276","Q9D1C3","PYURF","Q96I23"
"277","P32848","PVALB","P20472"
"278","P70698","CTPS1","P17812"
"279","Q8CGF1","ARHGAP29","Q52LW3"
"280","Q9D3G9","RHOH","Q15669"
"281","Q921Q7","RIN1","Q13671"
"282","P59729","RIN3","Q8TB24"
"283","P06880","GH1","P01241"
"284","P62754","RPS6","P62753"
"285","Q924D0","RTN4IP1","Q8WWV3"
"286","Q8BU91","SLC26A9","Q7LBE3"
"287","P18828","SDC1","P18827"
"288","Q8BZK4","SLC35F4","A4IF30"
"289","Q8C6U2","SLC66A3","Q8N755"
"290","Q3TZ89","SEC31B","Q9NQW1"
"291","O35235","TNFSF11","O14788"
"292","Q62203","SF3A2","Q15428"
"293","Q61263","SOAT1","P35610"
"294","Q8VDU5","SNRK","Q9NRH2"
"295","Q8K2Q9","SHTN1","A0MZ66"
"296","P08071","LTF","P02788"
"297","Q3UME2","TMEM241","Q24JQ0"
"298","Q9CWT3","SNX10","Q9Y5X0"
"299","Q61473","SOX17","Q9H6I2"
"300","Q7M6Y2","SOX11","P35716"
"301","Q04888","SOX10","P56693"
"302","O35857","TIMM44","O43615"
"303","Q9CSN1","SNW1","Q13573"
"304","Q9Z1W5","SERP1","Q9Y6X1"
"305","Q8C3Q5","SHISA7","A6NL88"
"306","J3QNX5","SHISA8","B8ZZ34"
"307","Q04890","SOX12","O15370"
"308","G3X9J0","SIPA1L3","O60292"
"309","Q6IUP1","SOHLH1","Q5JUK2"
"310","O35892","SP100","P23497"
"311","Q91WG3","TRUB2","O95900"
"312","P51557","STAR","P49675"
"313","Q9Z1Z2","STRAP","Q9Y3F4"
"314","B2RV46","SPATA6L","Q8N4H0"
"315","P59222","SCARF2","Q96GP6"
"316","Q8C0S4","TTC21A","Q8NDW8"
"317","Q80WR1","TSPAN18","Q96SJ8"
"318","Q80WV7","SRRM3","A6NNA2"
"319","Q8R3S2","TSPAN33","Q86UF1"
"320","O88452","STC2","O76061"
"321","Q812A2","SRGAP3","O43295"
"322","Q99MR6","SRRT","Q9BXP5"
"323","P30875","SSTR2","P30874"
"324","P50427","STS","P08842"
"325","A2RRY8","SPATS1","Q496A3"
"326","Q9CY50","SSR1","P43307"
"327","Q8C3L1","SSUH2","Q9Y2M2"
"328","Q9JI10","STK3","Q13188"
"329","Q8K004","SPATA2","Q9UM82"
"330","Q9DAG5","STPG4","Q8N801"
"331","Q3TBT3","STING1","Q86WV6"
"332","Q99JT2","STK26","Q9P289"
"333","E9PVB5","TTC17","Q96AE7"
"334","Q8C6M1","USP20","Q9Y2K6"
"335","Q9D666","SUN1","O94901"
"336","Q6ZWR6","SYNE1","Q8NF91"
"337","Q64332","SYN2","Q92777"
"338","G5E8Z2","TAF4B","Q92750"
"339","B1AVZ0","UPRT","Q96BW1"
"340","Q91YH6","ATP6V1B1","P15313"
"341","P62814","ATP6V1B2","P21281"
"342","Q62463","AVPR1A","P37288"
"343","Q9WU02","AVPR1B","P47901"
"344","Q60932","VDAC1","P21796"
"345","Q60930","VDAC2","P45880"
"346","Q9D479","UVSSA","Q2YD98"
"347","Q60931","VDAC3","Q9Y277"
"348","Q8BTT6","UTP25","Q68CQ4"
"349","O88721","AVPR2","P30518"
"350","Q8R2N2","UTP4","Q969X6"
"351","Q9Z1G3","ATP6V1C1","P21283"
"352","Q99L60","ATP6V1C2","Q8NEY4"
"353","Q8VCY6","UTP6","Q9NYH9"
"354","P51863","ATP6V0D1","P61421"
"355","Q80SY3","ATP6V0D2","Q8N8Y2"
"356","Q765I1","UTS2B","Q765I0"
"357","P48281","VDR","P11473"
"358","Q9QZQ3","UTS2","O95399"
"359","P79457","UTY","O14607"
"360","P57746","ATP6V1D","Q9Y5K8"
"361","Q8K245","UVRAG","Q9P2Y5"
"362","P50518","ATP6V1E1","P36543"
"363","Q9D2P4","URM1","Q9BTM9"
"364","Q9D593","ATP6V1E2","Q96A05"
"365","Q91XL3","UXS1","Q8NBZ7"
"366","P06869","PLAU","P00749"
"367","Q9WTZ0","UXT","Q9UBK9"
"368","Q5DID3","UMODL1","Q5DID0"
"369","Q9D1K2","ATP6V1F","Q16864"
"370","Q91X17","UMOD","P07911"
"371","Q9WV55","VAPA","Q9P0L0"
"372","Q8K1B8","FERMT3","Q86UX7"
"373","Q9CR51","ATP6V1G1","O75348"
"374","Q9WTT4","ATP6V1G2","O95670"
"375","Q9QY76","VAPB","O95292"
"376","Q8BMC1","ATP6V1G3","Q96LB4"
"377","Q8BVE3","ATP6V1H","Q9UI12"
"378","Q3ULM6","USPL1","Q5W0Q7"
"379","Q9R1Q9","ATP6AP1","Q15904"
"380","Q8BUB6","UST","Q9Y2C2"
"381","Q9CQL1","MAGOHB","Q96A72"
"382","Q8C0T7","MFSD9","Q8NBP5"
"383","A2AWL7","MGA","Q8IWI9"
"384","Q8BH27","MEGF9","Q9H1U4"
"385","Q8R4G6","MGAT5","Q09328"
"386","Q91VS7","MGST1","P10620"
"387","Q8BG93","NUDT15","Q9NV35"
"388","Q80UM7","MOGS","Q13724"
"389","Q8BM65","NYAP2","Q9P242"
"390","Q60764","MKRN3","Q13064"
"391","Q99KX1","MLF2","Q15773"
"392","Q61532","MAPK6","Q16659"
"393","Q9Z2D1","MTMR2","Q13614"
"394","Q6NZR2","MSANTD2","Q6P1R3"
"395","Q8K4B0","MTA1","Q13330"
"396","P43247","MSH2","P43246"
"397","P30204","MSR1","P21757"
"398","Q61474","MSI1","O43347"
"399","Q01727","MC1R","Q01726"
"400","Q9D1F5","MRNIP","Q6NTE8"
"401","Q69ZF8","MSL2","Q9HCI7"
"402","Q64449","MRC2","Q9UBG0"
"403","Q99J25","MRM1","Q6IN84"
"404","Q9ET54","PALLD","Q8WX93"
"405","Q9Z0E0","NCDN","Q9UBB6"
"406","Q4PNJ2","NKAIN2","Q5VXU1"
"407","Q8BZL1","NEU4","Q8WWR8"
"408","O54949","NLK","Q9UBE8"
"409","Q6P2L6","NSD3","Q9BZ95"
"410","P46460","NSF","P46459"
"411","P15209","NTRK2","Q16620"
"412","Q80TL0","PPM1E","Q8WY54"
"413","Q8VC65","NRM","Q8IXM6"
"414","O35627","NR1I3","Q14994"
"415","Q64104","NR2E1","Q9Y466"
"416","Q9QXZ7","NR2E3","Q9Y5X4"
"417","Q9QZB6","NR4A3","Q92570"
"418","Q8R116","NOTUM","Q6P988"
"419","P49282","SLC11A2","P49281"
"420","Q9Z2E4","PPP1R17","O96001"
"421","Q3UYC0","PPM1H","Q9ULR3"
"422","Q80Y24","PRICKLE2","Q7Z3G6"
"423","Q8VCM2","NOXO1","Q8NFA2"
"424","Q8BK35","NOP53","Q9NZM5"
"425","Q149T7","PPM1J","Q5JR12"
"426","P70313","NOS3","P29474"
"427","Q8C985","NRXN3","Q9HDB5"
"428","Q8C985","NRXN3","Q9Y4C0"
"429","Q8BGN5","NIPAL3","Q6P499"
"430","P49681","NPBWR1","P48145"
"431","Q9Z0J0","NPC2","P61916"
"432","Q8BKK4","PPP1R1C","Q8WVI7"
"433","Q6T3U4","NPC1L1","Q9UHC9"
"434","Q9CR37","PPDPF","Q9H3Y8"
"435","O88708","ORC4","O43929"
"436","Q8BXR9","OSBPL6","Q9BZF3"
"437","P41778","PBX1","P40424"
"438","Q8K212","PACS1","Q6VY07"
"439","Q8BYI6","LPCAT2","Q7L5N7"
"440","Q6PAC4","PCARE","A6NGG8"
"441","Q7M761","OVCH2","Q7RTZ1"
"442","Q8BGT0","OSTM1","Q86WC4"
"443","P61364","OSTN","P61366"
"444","Q8CG70","P3H3","Q8IVL6"
"445","Q5SW25","POM121L2","Q96KW2"
"446","Q9WUB3","PYGM","P11217"
"447","P32114","PAX2","Q02962"
"448","Q9D8S4","REXO2","Q9Y3B8"
"449","Q8BR92","PALM2","Q8IXS6"
"450","Q60716","P4HA2","O15460"
"451","Q6W3F0","P4HA3","Q7Z4N8"
"452","P24610","PAX3","P23760"
"453","Q9JLB2","PALS1","Q8N3R9"
"454","Q3V0Y1","PPP4R3C","Q6ZMV5"
"455","Q922R5","PPP4R3B","Q5MIZ7"
"456","Q8CIV7","OVOL2","Q9BRP0"
"457","D3YYM0","OVOL3","O00110"
"458","Q640Q5","PAN3","Q58A45"
"459","Q9ESG6","P2RY14","Q15391"
"460","P58308","HCRTR2","O43614"
"461","Q7TSK3","PCDH8","O95206"
"462","Q6IRT3","PARPBP","Q9NWS1"
"463","Q3UD82","PARP8","Q8N3A8"
"464","Q8VDG3","PARN","O95453"
"465","Q9DCU0","PAQR5","Q9NXK6"
"466","Q9Z101","PARD6A","Q9NPB6"
"467","E9PYK3","PARP4","Q9UKK3"
"468","Q149B8","PERM1","Q5SV97"
"469","P27773","PDIA3","P30101"
"470","Q8BG81","POLDIP3","Q9BY77"
"471","P86049","RBM46","Q8TBY0"
"472","Q6PE55","PDGFRL","Q15198"
"473","Q61644","PACSIN1","Q9BY11"
"474","Q8C7Q4","RBM4","Q9BWF3"
"475","Q91V41","RAB14","P61106"
"476","Q91YE7","RBM5","P52756"
"477","Q8K386","RAB15","P59190"
"478","P35292","RAB17","Q9H0T7"
"479","Q9CQT2","RBM7","Q9Y580"
"480","P35293","RAB18","Q9NP72"
"481","P35294","RAB19","A4D1S5"
"482","Q9CWZ3","RBM8A","Q9Y5S9"
"483","Q91W59","RBMS1","P29558"
"484","P62821","RAB1A","P62820"
"485","Q8VC70","RBMS2","Q15434"
"486","Q8BWL5","RBMS3","Q6XE24"
"487","Q8R0F5","RBMX2","Q9Y388"
"488","Q9D1G1","RAB1B","Q9H0U4"
"489","Q9WV02","RBMX","P38159"
"490","P35295","RAB20","Q9NX57"
"491","Q80Y56","RBSN","Q9H1K0"
"492","P35282","RAB21","Q9UL25"
"493","P12672","RAPSN","Q13702"
"494","P35288","RAB23","Q9ULC3"
"495","Q9CWH4","REC114","Q7Z4M0"
"496","P35290","RAB24","Q969Q5"
"497","Q9WTL2","RAB25","P57735"
"498","Q99KL7","RAB28","P51157"
"499","P53994","RAB2A","P61019"
"500","P59279","RAB2B","Q8WUD1"
"501","Q6VN19","RANBP10","Q6VN20"
"502","Q8C5S7","REC8","O95072"
"503","Q923S9","RAB30","Q15771"
"504","Q99NF8","RANBP17","Q9H2T7"
"505","Q921E2","RAB31","Q13636"
"506","Q8QZR7","PDIK1L","Q8N165"
"507","P11416","RARA","P10276"
"508","Q9JK42","PDK2","Q15119"
"509","Q922H2","PDK3","Q15120"
"510","O35417","PDYN","P01213"
"511","Q8BKD6","RNF144B","Q7Z419"
"512","P22605","RARB","P10826"
"513","Q64008","RAB34","Q9BZG1"
"514","Q64008","RAB34","P0DI83"
"515","O70571","PDK4","Q16654"
"516","P09411","PGK1","P00558"
"517","Q0VG62","RBIS","Q8N0T1"
"518","Q9CZT8","RAB3B","P20337"
"519","Q9QYF1","RDH11","Q8TC12"
"520","P61028","RAB8B","Q92930"
"521","P62823","RAB3C","Q96E17"
"522","Q8BHH2","RAB9B","Q9NP90"
"523","Q8CEE7","RDH13","Q8NBN7"
"524","Q0PD08","RAB42","Q8N4Z0"
"525","Q9WVB0","RBPMS","Q93062"
"526","Q9ERI6","RDH14","Q9HBH5"
"527","Q8CG50","RAB43","Q86YS6"
"528","Q8CB87","RAB44","Q7Z6P3"
"529","P58069","RASA2","Q15283"
"530","O54909","RDH16","O75452"
"531","Q8VC52","RBPMS2","Q6ZRY4"
"532","O35551","RABEP1","Q15276"
"533","Q60790","RASA3","Q14644"
"534","P56371","RAB4A","P20338"
"535","Q91WG2","RABEP2","Q9H5N1"
"536","O35626","RASD1","Q9Y272"
"537","Q91ZR1","RAB4B","P61018"
"538","Q8VCH5","RABEPK","Q7Z6M1"
"539","Q5RI75","RASEF","Q8IZ41"
"540","Q9CQD1","RAB5A","P20339"
"541","Q7TN89","ERAS","Q7Z444"
"542","O55240","RDH5","Q92781"
"543","Q99MK9","RASSF1","Q9NS23"
"544","P61021","RAB5B","P61020"
"545","Q7TQA3","SDR16C5","Q8N3Y7"
"546","Q8BMS9","RASSF2","P50749"
"547","Q9D4V7","RABL3","Q5HYI8"
"548","Q99P51","RASSF3","Q86WH2"
"549","P35278","RAB5C","P51148"
"550","Q8CB96","RASSF4","Q9H2L5"
"551","Q5U3K5","RABL6","Q3YEC7"
"552","P35279","RAB6A","P20340"
"553","Q5EBH1","RASSF5","Q8WWW0"
"554","Q80UQ2","RASSF6","Q6ZTQ3"
"555","P62965","CRABP1","P29762"
"556","P61294","RAB6B","Q9NRW1"
"557","Q9DD19","RASSF7","Q02833"
"558","Q8CJ96","RASSF8","Q8NHQ8"
"559","Q8K342","RASSF9","O75901"
"560","P22935","CRABP2","P29373"
"561","Q8BL43","RASSF10","A6NK89"
"562","Q9CQK3","RDM1","Q8NG50"
"563","P51150","RAB7A","P51149"
"564","Q9JM13","RABGEF1","Q9UJ41"
"565","Q8VEA8","RAB7B","Q96AH8"
"566","Q61411","HRAS","P01112"
"567","P25801","LMO2","P25791"
"568","P32883","KRAS","P01116"
"569","P62878","RBX1","P62877"
"570","Q9Z268","RASAL1","O95294"
"571","Q6PFQ7","RASA4","O43374"
"572","Q9WTZ1","RNF7","Q9UBF6"
"573","P63001","RAC1","P63000"
"574","O35698","RBMY1A1","P0DJD3"
"575","Q8C2K5","RASAL3","Q86YV0"
"576","Q60990","RBMY1B","A6NDE4"
"577","Q08AT1","RASL12","Q9NYN1"
"578","O08989","MRAS","O14807"
"579","Q05144","RAC2","P15153"
"580","P08556","NRAS","P01111"
"581","P13405","RB1","P06400"
"582","P60764","RAC3","P60763"
"583","Q99LV7","PIGX","Q8TBF5"
"584","Q3USB7","PLCL1","Q15111"
"585","Q9JLV6","PNKP","Q96T60"
"586","Q9JI48","PLAC8","Q9NZF1"
"587","O35690","PHOX2B","Q99453"
"588","A2AP18","PLCH2","O75038"
"589","Q8BHD1","POC1B","Q8TC44"
"590","Q61136","PRPF4B","Q13523"
"591","P24638","ACP2","P11117"
"592","Q922R0","PRKX","P51817"
"593","Q7TSC1","PRRC2A","P48634"
"594","P06800","PTPRC","P08575"
"595","Q9JJW0","PXMP4","Q9Y6I8"
"596","Q8BU31","RAP2C","Q9Y3L5"
"597","Q504M8","RAB26","Q9ULW5"
"598","Q8BYK4","RDH12","Q96NR8"
"599","Q9R0M6","RAB9A","P51151"
"600","O08674","RBPJL","Q9UBG7"
"601","Q8BX57","PXK","Q7Z7A4"
"602","P14869","RPLP0","P05388"
"603","Q3V089","RBM44","Q6ZP01"
"604","Q9Z2H2","RGS6","P49758"
"605","Q62193","RPA2","P15927"
"606","Q8BGE9","RXFP3","Q9NSD7"
"607","Q8BXT1","RGS8","P57771"
"608","O54828","RGS9","O75916"
"609","Q9CQ71","RPA3","P35244"
"610","Q3TDK6","ROGDI","Q9GZN7"
"611","Q9EPU0","UPF1","Q92900"
"612","Q99MB7","RNF141","Q8WVD5"
"613","Q5SWK7","RNF145","Q96MT1"
"614","Q62191","TRIM21","P19474"
"615","P08775","POLR2A","P24928"
"616","Q80U40","RIMBP2","O15034"
"617","Q3KNY5","RIIAD1","A6NNX1"
"618","Q9CZW6","RNF146","Q9NTX7"
"619","O08848","RO60","P10155"
"620","P35601","RFC1","P35251"
"621","Q5U4E2","REPIN1","Q9BWE0"
"622","Q8BHC7","RHBDD1","Q8TEB9"
"623","Q9D8G5","REG4","Q9BYZ8"
